primary_key,address,neighborhood
332,"R OCTAVIO PATO, N. 14",ALTA LISBOA CENTRO
333,"AV MOUZINHO ALBUQUERQUE, LT. 65",VALE SANTO ANTONIO
334,"R OCTAVIO PATO, N. 6",ALTA LISBOA CENTRO
335,"R COSTA MALHEIRO, LT. B11",ALFREDO BENSAUDE
336,"AV GLICINIA QUARTIN, N. 13",AMEIXOEIRA
337,"RUA FRANCISCO LACERDA, LT. 4",VALE ALCANTARA
338,"R MARIA PIA, LT. 1",VALE ALCANTARA
339,"R PROF FERNANDO MELLO MOSER, N. 4",PACO LUMIAR
340,"R MARCIANO HENRIQUES SILVA, N. 32",REGO
341,"ESTRADA CIRCUNVALACAO, LT. C03",ALFREDO BENSAUDE
342,"R COSTA MALHEIRO, LT. B05",ALFREDO BENSAUDE
343,"R ANTONIO VILAR, LT. 9",AMEIXOEIRA
344,"BO QUINTA CABRINHA, N. 51",VALE ALCANTARA
345,"R MARCIANO HENRIQUES SILVA, N. 36",REGO
346,"R AUGUSTO ABELAIRA, N. 2",REGO
347,"R ANTONIO VILAR, LT. 14",AMEIXOEIRA
348,"ESTRADA CIRCUNVALACAO, LT. C06",ALFREDO BENSAUDE
349,"RUA FRANCISCO LACERDA, LT. 10",VALE ALCANTARA
350,"RUA FRANCISCO LACERDA, LT. 7",VALE ALCANTARA
351,"AV CIDADE LUANDA, N. 31",AV CIDADE LUANDA
352,"AV CIDADE LUANDA, N. 37",AV CIDADE LUANDA
353,"ESTRADA CIRCUNVALACAO, LT. C08",ALFREDO BENSAUDE
354,"AV CEUTA NORTE - QTA LOUREIRO, LT. 6A",VALE ALCANTARA
355,"R RAUL CARVALHO, LT. 4",AMEIXOEIRA
356,"R JOSE INACIO ANDRADE, N. 10",QUINTA LAVRADO
357,"R RIO AGUEDA, LT. 8",PADRE CRUZ
358,"R RIO COURA, LT. 63",PADRE CRUZ
359,"AV CEUTA NORTE - QTA LOUREIRO, LT. 10",VALE ALCANTARA
360,"AV CEUTA SUL, LT. 3",VALE ALCANTARA
361,"R JOSE INACIO ANDRADE, N. 8",QUINTA LAVRADO
362,"R JOSE INACIO ANDRADE, N. 2",QUINTA LAVRADO
363,"R CARLOS GIL, LT. 642 C",ALFINETES
364,"R CARLOS GIL, LT. 647 AD",ALFINETES
365,"AV CEUTA SUL, LT. 4",VALE ALCANTARA
366,"BO QUINTA CABRINHA, N. 1",VALE ALCANTARA
367,"R RIO COURA, LT. 37",PADRE CRUZ
368,"R ALM SARMENTO RODRIGUES, LT. 1",JOAO NASCIMENTO COSTA
369,"BO QUINTA CABRINHA, N. 4",VALE ALCANTARA
370,"BO QUINTA CABRINHA, N. 6",VALE ALCANTARA
371,"R PADRE JOSE GALLEA, N. 11",LIBERDADE
372,"R PADRE JOSE GALLEA, N. 7",LIBERDADE
373,"BO QUINTA CABRINHA, N. 10",VALE ALCANTARA
374,"RUA FRANCISCO LACERDA, LT. 5",VALE ALCANTARA
375,"R VARELA SILVA, LT. 4",AMEIXOEIRA
376,"R ANTONIO VILAR, LT. 11",AMEIXOEIRA
377,"AV FRANCOIS MITTERRAND, LT. 738",ARMADOR
378,"AV FRANCOIS MITTERRAND, LT. 743",ARMADOR
379,"R VASCO GAMA FERNANDES, N. 3",ALTA LISBOA CENTRO
380,"R OCTAVIO PATO, N. 16",ALTA LISBOA CENTRO
381,"R MARIA PIA, LT. 3",VALE ALCANTARA
382,"R MARIA PIA, LT. 4",VALE ALCANTARA
383,"AV FRANCOIS MITTERRAND, N. 43",ARMADOR
384,"R SEVERO PORTELA, LT. B1",ALFINETES
385,"LG ROQUE LAIA, N. 6",OLAIAS
386,"R RIO COURA, LT. 76",PADRE CRUZ
387,"R OCTAVIO PATO, N. 12",ALTA LISBOA CENTRO
388,"AV MOUZINHO ALBUQUERQUE, LT. 51",VALE SANTO ANTONIO
389,"RUA FRANCISCO LACERDA, LT. 8",VALE ALCANTARA
390,"RUA FRANCISCO LACERDA, LT. 9",VALE ALCANTARA
391,"R SEVERO PORTELA, LT. B2",ALFINETES
392,"R SEVERO PORTELA, LT. B6",ALFINETES
393,"R RIO SABOR, LT. 46",PADRE CRUZ
394,"R RIO VEZ, LT. 6",PADRE CRUZ
395,"AV MOUZINHO ALBUQUERQUE, LT. 47",VALE SANTO ANTONIO
396,"R PROF FERNANDO MELLO MOSER, N. 20",PACO LUMIAR
397,"R JOSE INACIO ANDRADE, N. 6",QUINTA LAVRADO
398,"R VARELA SILVA, LT. 17",AMEIXOEIRA
399,"R SEVERO PORTELA, LT. B7",ALFINETES
400,"R PROF LINDLEY CINTRA, LT. 42",PADRE CRUZ
401,"R MARCIANO HENRIQUES SILVA, N. 40",REGO
402,"R SOUSA LOPES, N. 63",REGO
403,"R PORTUGAL DURAO, N. 64",REGO
404,"R SOEIRO PEREIRA GOMES, N. 11",REGO
405,"R PROF MARIA LURDES BELCHIOR, LT. 11",OLAIAS
406,"R PROF MARIA LURDES BELCHIOR, LT. 13",OLAIAS
407,"R AUGUSTO ABELAIRA, N. 4",REGO
408,"R ALM SARMENTO RODRIGUES, LT. 7",JOAO NASCIMENTO COSTA
409,"R TITO MORAIS, N. 27",ALTA LISBOA CENTRO
